, Origin , Residence , pop_type ,"2,014","2,015"
afg,Afghanistan,Afghanistan,Internally displaced,805409,1174306
aze,Azerbaijan,Azerbaijan,Internally displaced,622892,618220
bsn,Bosnia and Herzegovina,Bosnia and Herzegovina,Internally displaced,84500,98324
bdi,Burundi,Burundi,Internally displaced,78948,25000
car,Cameroon,Cameroon,Internally displaced,0,92657
chd,Central African Rep.,Central African Rep.,Internally displaced,438538,216392
col,Chad,Chad,Internally displaced,0,51999
ico,Colombia,Colombia,Internally displaced,6044151,6939067
cod,Côte d'Ivoire,Côte d'Ivoire,Internally displaced,24000,308272
geo,Dem. Rep. of the Congo,Dem. Rep. of the Congo,Internally displaced,2756585,1555112
irq,Georgia,Georgia,Internally displaced,262704,268416
lby,Honduras,Honduras,Internally displaced,0,174000
mli,Iraq,Iraq,Internally displaced,3596356,4403287
mya,Libya,Libya,Internally displaced,363067,434869
mya,Mali,Mali,Internally displaced,99816,61920
pak,Myanmar1,Myanmar1,Internally displaced,441500,416089
,Niger,Niger,Internally displaced,0,137337
phi,Nigeria,Nigeria,Internally displaced,1188018,2151979
,Pakistan,Pakistan,Internally displaced,1375904,1146108
som,Philippines,Philippines,Internally displaced,142430,63174
ssd,Somalia,Somalia,Internally displaced,1133000,1133000
lka,South Sudan,South Sudan,Internally displaced,1490195,1685427
,Sri Lanka3,Sri Lanka3,Internally displaced,30847,44934
sud,Sudan,Sudan,Internally displaced,2192830,3218234
sud,Syrian Arab Rep.,Syrian Arab Rep.,Internally displaced,7632500,6563462
ukr,Ukraine,Ukraine,Internally displaced,823000,800000
yem,Yemen,Yemen,Internally displaced,334093,2532032
